书名,作者,出版日期,出版社,原价,售价,折扣比例,排序,排行榜类型,推荐值,电子书价格,评论数
从拖延到自律：超级自控力训练计划,舒娅,2019-08-01,中国纺织出版社,42.8,42.4,0.99,447,2020年,100%,9.9,91691.0
过得刚好（郭德纲亲笔作品，全新修订版。讲述人生四十多年的江湖,郭德纲,2019-09-30,北京联合出版公司,52.0,26.0,0.5,454,2020年,100%,52.0,65586.0
黄金时代（手稿珍藏版）,王小波,2017-04-01,北京十月文艺出版社,35.0,26.2,0.75,461,2020年,100%,21.0,91529.0
寂静的春天（语文教材“名著导读”经典・八年级上。专业术语、疑,蕾切尔・卡森,2018-06-13,浙江工商大学出版社,27.0,11.3,0.42000000000000004,464,2020年,99.9%,3.7,69841.0
小熊很忙 小达人点读版 第4辑（套装共3册）万圣节派对+小小救护员,本吉・戴维斯,2018-10-01,中信出版社,135.0,67.5,0.5,473,2020年,100%,72.3,90220.0
娜是光照亮的地方【综艺女王谢娜全新力作！】,谢娜,2020-04-01,中国友谊出版公司,68.0,34.0,0.5,475,2020年,100%,52.1,50929.0
吾爱敦煌 我心归处是敦煌：樊锦诗自述（国家荣誉称号获得者、201,樊锦诗,2019-10-01,译林出版社,68.0,37.4,0.55,477,2020年,100%,54.8,99566.0
大林和小林（中国现代文学史上现实主义童话之一，两种命运的不同,张天翼,2018-12-01,安徽教育出版社,19.8,8.3,0.42000000000000004,482,2020年,100%,3.8,47264.0
撒野.2（2020版本）,巫哲,2020-04-04,江苏凤凰文艺出版社,49.8,30.4,0.61,493,2020年,100%,36.0,71461.0
细菌世界历险记（又名《灰尘的旅行》，小学语文快乐读书吧・四年,高士其,2018-02-05,浙江工商大学出版社,26.0,10.1,0.39,497,2020年,100%,4.2,77046.0
小鹿斑比（迪士尼同名电影原作，一代代孩童的童年熟知的经典故事,费利克斯・萨尔登,2018-12-01,安徽教育出版社,19.8,3.8,0.19,77,2021年,100%,5.0,99144.0
细菌世界历险记（又名《灰尘的旅行》，小学语文快乐读书吧・四年,高士其,2018-02-05,浙江工商大学出版社,26.0,10.1,0.39,106,2021年,100%,4.2,77046.0
汤姆・索亚历险记（批判现实主义作家马克・吐温代表作之一，以自,马克・吐温,2018-12-01,安徽教育出版社,24.8,2.5,0.1,107,2021年,100%,4.2,97053.0
烟与镜：尼尔・盖曼头皮发麻短篇集（看得头皮发麻的同时，原始的,尼尔・盖曼,2021-03-31,江苏凤凰文艺出版社,48.0,24.0,0.5,108,2021年,100%,13.0,80866.0
朝花夕拾(语文教材“名著导读”经典・七年级上。大语文理念打造：,鲁迅,2020-04-21,时代文艺出版社,26.0,10.1,0.39,120,2021年,100%,2.7,98224.0
