书名,作者,出版日期,出版社,原价,售价,折扣比例,排序,排行榜类型,推荐值,电子书价格,评论数
小学生思维方式漫画（用前人的经验优化自己的思维模式，让学习和,歪歪兔童书馆,2021-11-01,海豚出版社,100.0,39.0,0.39,293,2022年,100%,22.6,32776.0
半小时漫画论语（孔子原来这么爱吐槽！看孔子和弟子们卖萌吐槽，,陈磊・半小时漫画团队,2021-09-30,文汇出版社,59.9,29.9,0.5,300,2022年,100%,15.0,72898.0
朝花夕拾(语文教材“名著导读”经典・七年级上。大语文理念打造：,鲁迅,2020-04-21,时代文艺出版社,26.0,10.1,0.39,302,2022年,100%,2.7,98224.0
如果历史是一群喵1-10全集（共10册）,肥志,2022-04-01,广东旅游出版社,577.6,288.8,0.5,306,2022年,99.9%,323.4,52373.0
地心游记（银火箭少年科幻系列・第2辑，又译《地心历险记》，经典,儒勒・凡尔纳,2020-04-01,民主与建设出版社,35.0,14.7,0.42000000000000004,316,2022年,100%,4.6,61492.0
"度阴山讲了凡四训（真想改变命运,就读《了凡四训》！《知行合一王",袁了凡,2022-05-01,河南文艺出版社,39.9,19.9,0.5,318,2022年,100%,39.9,44814.0
不可思议的文明奇迹 涵盖历史地理多学科领域 精装版,郭子林,2022-03-01,石油工业出版社,50.0,37.5,0.75,320,2022年,100%,34.7,79779.0
一千零一夜 快乐读书吧五年级上册推荐阅读(中小学生课外阅读指导,邵珠磊,2019-06-01,南方出版社,22.8,10.2,0.45,322,2022年,100%,8.0,69760.0
【当当专享金属贴纸+书单】梁永安：阅读、游历和爱情（宝藏教授B,梁永安,2022-05-01,北京时代华文书局,59.0,29.5,0.5,323,2022年,100%,36.5,75785.0
青：陪安东尼度过漫长岁月5,安东尼,2022-04-01,湖南文艺出版社,48.0,24.0,0.5,327,2022年,100%,22.8,84468.0
一个陌生女人的来信（茨威格中短篇小说选，豆瓣9.4高评分译作，德,斯蒂芬・茨威格,2017-09-01,时代文艺出版社,22.0,9.9,0.45,332,2022年,99.9%,4.4,86631.0
双城记（狄更斯经典代表作，逝世150周年纪念版！翻译泰斗宋兆霖权,查尔斯・狄更斯,2020-07-01,台海出版社,49.8,12.5,0.25,333,2022年,99.9%,12.9,86314.0
就喜欢你看不惯我又干不掉我的样子6,白茶,2022-04-01,人民文学出版社,66.0,44.2,0.67,338,2022年,99.9%,47.1,50718.0
"从零开始的女性主义（豆瓣2021年度最受关注图书,上野千鹤子给所有",上野千鹤子,2021-09-01,北京联合出版有限公司,52.0,28.6,0.55,348,2022年,100%,29.9,96614.0
孤独的小螃蟹 二年级上册 小学生二年级快乐读书吧推荐阅读 全彩注,冰波,2019-06-01,商务印书馆,21.8,10.4,0.48,350,2022年,100%,10.5,68892.0
半小时漫画宇宙大爆炸（半小时读完138亿年宇宙史，一口气搞懂大爆,陈磊・半小时漫画团队,2021-11-08,浙江科学技术出版社,49.0,24.5,0.5,354,2022年,100%,49.0,56150.0
快乐读书吧六年级下册 鲁滨逊漂流记 汤姆索亚历险记 尼尔斯骑鹅旅,马克,2018-11-01,时代文艺出版社,62.2,27.9,0.45,355,2022年,100%,18.9,92512.0
小妇人（写给所有女孩，全新精装典藏版，翻译家贾辉丰倾情译作。,路易莎・梅・奥尔科特,2021-12-01,中国友谊出版公司,45.0,22.5,0.5,362,2022年,100%,8.0,78327.0
苍兰诀 （当当专享人气画手眠狼绘制印刷海报）九鹭非香,九鹭非香,2021-02-01,四川文艺出版社,39.8,19.9,0.5,365,2022年,99.9%,13.0,69495.0
厌女：日本的女性嫌恶,上野千鹤子,2015-05-01,上海三联书店,38.0,33.0,0.8699999999999999,366,2022年,100%,24.0,83614.0
他在云之南（人气作家景行燃情悬爱力作！随书附赠“追光”书签。,景行,2020-04-01,百花文艺出版社,39.8,28.6,0.72,368,2022年,100%,26.5,62247.0
画给孩子的中国神话 : 精装彩绘本,施英巍,2020-04-01,吉林美术出版社,55.0,13.75,0.25,369,2022年,99.9%,11.8,86980.0
不能不懂的编程 我是学霸 给孩子的创新编程启蒙绘本,项华,2021-09-01,北京联合出版有限公司,52.0,39.0,0.75,370,2022年,100%,42.9,57662.0
遥远的救世主+天幕红尘+天局（王志文主演电视剧《天道》原著小说,豆豆,2020-07-22,作家出版社,134.0,67.0,0.5,373,2022年,99.8%,70.9,85781.0
被欺负了，可以打回去吗（解决父母的世纪难题，告诉孩子被欺负了,小杨叔叔,2021-07-01,新世界出版社,38.0,15.7,0.41,374,2022年,100%,3.0,81659.0
平安小猪（J.K.罗琳新书王者归来，哈利波特后，全新长篇力作，带,J.K.罗琳,2021-12-01,新星出版社,68.0,51.0,0.75,377,2022年,100%,40.8,68560.0
自我的诞生（知名心理咨询师武志红转向“自我”研究的里程碑式作,武志红,2022-03-10,新星出版社,69.0,34.5,0.5,378,2022年,100%,65.6,32767.0
博物馆寻宝记 藏在国宝中的文物简史 精装版,王露,2022-03-01,石油工业出版社,50.0,37.5,0.75,379,2022年,100%,32.4,84476.0
一间只属于自己的房间（李银河、杨澜推荐；热播剧《我的阿勒泰》,弗吉尼亚・伍尔夫,2019-10-01,天津人民出版社,45.0,22.5,0.5,388,2022年,100%,16.6,70148.0
鱼没有脚（布克国际文学奖提名作品）,约恩・卡尔曼・斯特凡松,2021-12-24,四川文艺出版社,49.8,24.9,0.5,396,2022年,100%,49.8,50209.0
我决定给自己一点时间（亚洲高人气作家“鸭子小姐”引进治愈作品,李彦��,2022-05-10,四川人民出版社,49.0,24.5,0.5,399,2022年,100%,33.0,42778.0
小英雄雨来 童年 爱的教育 六年级上册快乐读书吧推荐阅读（中小学,管桦,2019-09-01,南方出版社,49.4,22.2,0.45,402,2022年,100%,15.8,82956.0
小羊上山儿童汉语分级读物第2级 幼小衔接学会自主识字阅读 幼儿启,孙蓓,2020-09-01,人民邮电出版社,138.0,79.0,0.5700000000000001,408,2022年,100%,92.4,94048.0
稻草人 格林童话 安徒生童话 小学生三年级上册快乐读书吧推荐阅读,叶圣陶,2019-06-01,商务印书馆,71.4,34.2,0.48,412,2022年,100%,43.1,47926.0
熊津数学图画书（全50册，含29册精装绘本及21册游戏书，将数学和,熊津出版社,2020-09-01,贵州科技出版社,698.0,349.0,0.5,417,2022年,100%,324.2,95303.0
人类群星闪耀时（姜乙译本，东方甄选、雷军、易中天诚意推荐）,斯蒂芬・茨威格,2019-07-01,上海文艺出版社,49.0,27.0,0.55,418,2022年,100%,26.5,90039.0
成年人的世界没有容易二字（专治“怕、不甘心、难”，助你早日丧,老杨的猫头鹰,2021-12-01,江苏凤凰文艺出版社,45.0,22.5,0.5,420,2022年,100%,45.0,57999.0
非洲民间故事老人的智慧 快乐读书吧五年级上册课外阅读(中小学生,闻钟,2019-09-01,南方出版社,21.8,9.8,0.45,421,2022年,100%,4.4,86205.0
“歪脑袋”木头桩 二年级上册 小学生二年级快乐读书吧推荐阅读 全,严文井,2019-06-01,商务印书馆,21.8,10.4,0.48,423,2022年,100%,10.5,58818.0
戴建业・漫画世说新语（听戴老师讲《世说新语》，看爆笑漫画，大,戴建业,2021-12-01,浙江文艺出版社,49.8,24.9,0.5,427,2022年,100%,49.8,55276.0
好好说话：非暴力沟通幼儿版 [3-6岁],克里斯蒂娜・特巴尔,2020-11-01,太白文艺出版社,48.0,24.0,0.5,431,2022年,100%,32.5,71103.0
许渊冲：美得窒息的唐诗宋词诗经3册套装（中英双语诗画集）,陆苏,2020-04-01,长江文艺出版社,149.4,68.0,0.45999999999999996,437,2022年,100%,46.5,84645.0
人生只有一件事:教你如何活得更好,金惟纯,2021-05-13,中信出版社,59.0,29.5,0.5,441,2022年,100%,27.9,93778.0
极简学习法（考试高分的秘密，上百位清北学霸学习方法大公开）,廖恒,2022-04-01,北京联合出版有限公司,45.0,22.5,0.5,443,2022年,100%,36.0,46970.0
七色花 全彩注音 小学二年级下册 快乐读书吧 推荐阅读（有声朗读,卡达耶夫,2020-02-01,商务印书馆,21.8,10.4,0.48,444,2022年,100%,10.5,64946.0
海蒂（又译《小海蒂》，瑞士经典童话，汲取人性光辉，给孩子温馨,约翰娜・斯比丽,2019-09-09,辽宁少年儿童出版社,24.8,10.4,0.42000000000000004,446,2022年,100%,4.8,44475.0
"西西弗神话（诺贝尔文学奖得主,加缪的荒诞哲学代表作)",阿尔贝・加缪,2020-09-01,民主与建设出版社,49.8,13.94,0.27999999999999997,447,2022年,100%,9.4,54224.0
梁实秋：为这人间操碎了心（一本解闷宝书，文学泰斗梁实秋趣味散,梁实秋,2020-10-01,中国友谊出版公司,42.0,19.8,0.47000000000000003,451,2022年,100%,14.6,92142.0
钢铁是怎样炼成的(语文教材“名著导读”经典・八年级下。大语文理,奥斯特洛夫斯基,2020-04-21,时代文艺出版社,44.0,18.5,0.42000000000000004,452,2022年,100%,11.8,66942.0
罗生门（芥川龙之介小说集。《人间失格》作者太宰治是芥川的头号,芥川龙之介,2017-12-01,时代文艺出版社,31.0,14.0,0.45,456,2022年,99.9%,5.3,90816.0
外婆出租中,丽芙・阿巴思诺特,2021-07-01,四川文艺出版社,42.0,21.0,0.5,462,2022年,100%,8.0,84450.0
半小时漫画三国演义（三更半夜笑出鹅叫，三国典故打死忘不掉！桃,陈磊・半小时漫画团队,2021-10-15,河南文艺出版社,54.9,27.4,0.5,464,2022年,100%,54.9,52306.0
中国国家地理精华 图说天下 国家地理,图说天下.国家地理,2012-06-01,北京联合出版公司,19.9,7.9,0.4,468,2022年,99.9%,2.0,93537.0
焦虑的人（九个焦虑的人，一场人质劫持，能解救他们的不是警察，,弗雷德里克・巴克曼,2021-08-01,天津人民出版社,49.8,24.9,0.5,478,2022年,100%,49.8,75868.0
人间词话（小嘉抖音推荐，叶嘉莹讲评本，诗词大家叶嘉莹逐条讲透,王国维,2021-10-01,万卷出版公司,68.0,34.0,0.5,480,2022年,100%,68.0,84297.0
大中华寻宝系列28 黑龙江寻宝记,孙家裕,2021-07-01,二十一世纪出版社,35.0,22.75,0.65,481,2022年,100%,26.8,49686.0
给男孩的情绪管理绘本（套装全5册）,乐凡,2021-03-01,青岛出版社,90.0,45.0,0.5,484,2022年,99.9%,33.4,69107.0
杨绛传：简朴的生活，高贵的灵魂（杨绛先生诞辰110周年纪念版）,梅子,2020-06-01,民主与建设出版社,49.8,13.94,0.27999999999999997,485,2022年,100%,9.4,54049.0
我爱天下一切狗 季羡林散文集（爱尽万物，自在不言。）,季羡林,2020-06-01,光明日报出版社,49.0,24.5,0.5,486,2022年,100%,24.5,77613.0
和大人一起读（全4册）小学生一年级上册快乐读书吧推荐阅读书目 ,樊发稼,2020-06-01,商务印书馆,42.8,20.5,0.48,487,2022年,100%,18.8,61844.0
大话西方艺术史（句句有梗的极简艺术史！艺术自媒体意外艺术，八,意公子,2020-02-14,海南出版社,78.0,39.0,0.5,488,2022年,99.9%,9.9,67175.0
小鲤鱼跳龙门 二年级上册 小学生二年级快乐读书吧推荐阅读 全彩注,金近,2019-06-01,商务印书馆,21.8,10.4,0.48,492,2022年,100%,10.5,59807.0
如果历史是一群喵1-9全集（套装共9册）,肥志,2021-10-01,广东旅游出版社,517.8,258.9,0.5,498,2022年,99.9%,323.4,52486.0
小学生漫画.小学生社交情商漫画（提升社交力，培养高情商，甄选真,歪歪兔童书馆,2023-08-15,海豚出版社,100.0,38.8,0.39,41,2023年,100%,5.3,99525.0
少年读 漫画鬼谷子儿童版（全6册） 在漫画中学国学经典 鬼谷子智,湖南文化音像出版社,2022-10-01,湖南文化音像出版社,138.0,26.9,0.19,42,2023年,100%,29.1,86381.0
"给青年的十二封信（八年级下册阅读推荐,首度收录朱光潜大事记。谈",朱光潜,2023-03-30,海南出版社,39.9,19.9,0.5,59,2023年,100%,16.5,69363.0
中国古代神话 山海经 希腊神话故事 世界经典神话与传说故事四年级,闻钟,2021-06-01,南方出版社,101.2,45.5,0.45,68,2023年,100%,25.6,74098.0
星期六晚我们去散步吧（小红书博主、青年诗人隔花人 温暖治愈诗集,隔花人,2023-02-15,贵州人民出版社,49.8,24.9,0.5,73,2023年,100%,36.0,69016.0
张皓宸新书：抬头看二十九次月亮（全彩手绘寄语印签本，写给每一,张皓宸,2023-09-01,湖南文艺出版社,49.8,24.9,0.5,91,2023年,100%,38.2,20420.0
允许一切发生：过不紧绷松弛的人生（莫言、演员吴越、海灵格倡导,李梦霁,2023-04-18,古吴轩出版社,52.8,16.5,0.31,110,2023年,100%,13.5,92002.0
和古代学霸握个手,急脚大师,2022-11-01,南方出版社,58.0,29.0,0.5,116,2023年,100%,26.2,82035.0
河边的错误 (最新版)   余华先锋代表作  朱一龙主演戛纳入围电影,余华,2023-07-30,时代文艺出版社,49.8,29.8,0.6,142,2023年,100%,30.9,92269.0
木心全集・讲稿系列：文学回忆录(上下册)（2020版）,木心,2020-07-01,上海三联书店,188.0,112.8,0.6,156,2023年,100%,119.9,89781.0
尼尔斯骑鹅旅行记历险记彩绘注音版 6-12岁小学生课外阅读书籍 一,长江出版社,2015-05-01,长江出版社,19.8,9.9,0.5,161,2023年,100%,10.9,60062.0
相信 蔡磊作品 用信念与坚持面对生活的每一个意外与绝望,蔡磊,2023-03-17,中信出版社,59.0,39.0,0.6599999999999999,162,2023年,100%,27.3,76571.0
妈妈的情绪影响孩子的一生,蒋小芳,2021-06-01,中国轻工业出版社,39.8,19.9,0.5,168,2023年,100%,25.8,96522.0
小英雄雨来 童年 爱的教育 六年级上册快乐读书吧推荐阅读（中小学,管桦,2019-09-01,南方出版社,49.4,22.2,0.45,178,2023年,100%,15.8,82956.0
生而为人（毕啸南短篇小说作品，底层小人物的命运书写！）,毕啸南,2023-03-06,湖南文艺出版社,49.8,24.9,0.5,179,2023年,100%,40.0,51066.0
中国民间故事 田螺姑娘 快乐读书吧 五年级上册推荐阅读(中小学生,扬光,2020-06-01,商务印书馆,15.8,7.1,0.45,184,2023年,100%,4.4,90287.0
好好说话：非暴力沟通幼儿版 [3-6岁],克里斯蒂娜・特巴尔,2020-11-01,太白文艺出版社,48.0,24.0,0.5,194,2023年,100%,32.5,71103.0
全球最美的100个地方 图说天下 寻梦之旅,图说天下,2022-07-01,四川人民出版社,29.9,23.9,0.8,201,2023年,100%,7.6,95564.0
胜者心法：资治通鉴成事之道（冯唐从管理讲透古今胜者之道！随书,冯唐,2023-09-05,民主与建设出版社,72.0,49.6,0.6900000000000001,204,2023年,100%,72.0,87450.0
时间是什么 给孩子的时间启蒙科普绘本 养成合理规划时间的好习惯,知了,2022-08-01,北方妇女儿童出版社,50.0,14.8,0.3,215,2023年,100%,13.4,83060.0
外婆,伍剑,2017-02-01,长江少年儿童出版社,25.0,12.5,0.5,217,2023年,100%,12.3,94179.0
好诗好在哪里（听都靓讲解古诗名句的美妙诗意！知名文化博主都靓,都靓,2023-06-02,江苏凤凰文艺出版社,59.9,29.9,0.5,218,2023年,100%,59.9,35761.0
曾仕强详解易经系列1：易经真的很容易（精装）,曾仕强,2009-04-01,陕西师范大学出版社,32.0,24.5,0.77,219,2023年,99.8%,24.5,73271.0
中国国家博物馆 孩子一定要去的博物馆 图说天下精装版,王大庆,2023-05-23,明天出版社,50.0,14.8,0.3,221,2023年,100%,14.7,63360.0
不爱说话的十一岁・纽伯瑞儿童文学奖金奖（写尽8~12岁孩子的心事,艾琳.恩瑞达.凯莉,2020-05-31,文汇出版社,35.8,17.9,0.5,223,2023年,100%,23.6,83908.0
明朝那些事儿增补版.第1部（2021版）（当当专供）,当年明月,2017-05-01,北京联合出版有限公司,45.0,32.4,0.72,235,2023年,100%,45.0,86353.0
一千零一夜 快乐读书吧五年级上册推荐阅读(中小学生课外阅读指导,邵珠磊,2019-06-01,南方出版社,22.8,10.2,0.45,236,2023年,100%,8.0,69760.0
也是冬天，也是春天：升级彩插版（收录迟子建最新散文力作及其经,迟子建,2023-03-01,长江文艺出版社,49.8,39.3,0.79,237,2023年,100%,30.8,91393.0
正是橙黄橘绿时（“中国好书奖”获得者肖复兴暖心新作，温暖你的,肖复兴,2022-03-01,北京联合出版有限公司,48.0,24.0,0.5,241,2023年,100%,21.8,87760.0
再见绘梨 【赠观影时光纸骰子+绘梨印象拼图卡】藤本树著 简体中文,藤本树,2023-01-15,中信出版社,35.0,26.2,0.75,243,2023年,100%,26.5,56857.0
我能管好我自己：漫画小学生时间管理,读书堂,2022-10-01,古吴轩出版社,42.0,39.1,0.93,245,2023年,100%,25.6,51860.0
中国民间故事 非洲民间故事 列那狐的故事 欧洲民间故事 一千零一,尚金格,2019-06-01,南方出版社,104.0,46.8,0.45,246,2023年,100%,34.7,30339.0
埃隆・马斯克传 埃隆马斯克亲自参与并公开推荐 《史蒂夫・乔布斯,沃尔特・艾萨克森,2023-09-30,中信出版社,90.0,67.5,0.75,249,2023年,100%,41.7,68120.0
暮色将尽(一份诙谐坦荡的老年手记),戴安娜・阿西尔,2022-07-01,四川人民出版社,49.8,24.9,0.5,250,2023年,100%,17.0,90390.0
半小时漫画中国地理（从长江长城到黄山黄河，半小时尽览祖国大好,陈磊・半小时漫画团队,2023-08-18,浙江科学技术出版社,49.9,32.4,0.65,274,2023年,100%,49.9,37408.0
假如给我三天光明（中小学生课外阅读指导丛书）彩插无障碍阅读 智,海伦,2021-01-01,商务印书馆,22.8,10.2,0.45,287,2023年,100%,9.8,33181.0
三个火枪手 大仲马经典长篇小说，又名《三剑客》，多次翻拍为电影,大仲马,2015-06-01,中央编译出版社,38.0,19.0,0.5,289,2023年,100%,26.3,55676.0
钱从哪里来4：岛链化经济（著名金融学者香帅年度力作，探寻“钱从,香帅,2022-12-01,新星出版社,69.0,34.5,0.5,291,2023年,99.9%,66.1,28305.0
善平爷爷的草莓国际获奖绘本花园儿童图画故事书幼儿园宝宝亲子阅,松冈,2015-07-01,长江少年儿童出版社,25.0,9.8,0.39,295,2023年,100%,3.1,80965.0
六个说谎的大学生（伊坂幸太郎年度ZUI喜欢的推理小说！小岛秀夫推,浅仓秋成,2023-04-01,四川文艺出版社,45.0,22.5,0.5,298,2023年,100%,7.0,74593.0
地心游记（银火箭少年科幻系列・第2辑，又译《地心历险记》，经典,儒勒・凡尔纳,2020-04-01,民主与建设出版社,35.0,14.7,0.42000000000000004,300,2023年,100%,4.6,61492.0
情商这门课，只能父母教（当当定制情绪温度计海报）著名教育专家,唐雯,2022-10-01,江苏凤凰文艺出版社,39.8,19.9,0.5,302,2023年,100%,17.0,36444.0
非暴力沟通： 任何冲突都适用的沟通公式，用不带伤害的方式化解冲,皮拉尔・德拉托雷,2022-09-01,水利水电出版社,49.8,24.9,0.5,303,2023年,100%,48.0,60106.0
人鱼陷落（高人气作者麟潜口碑代表作！）,麟潜,2022-07-01,湖南文艺出版社,52.8,26.4,0.5,304,2023年,100%,44.0,64081.0
如何成为会赚钱的妈妈,王不烦,2023-03-01,中国友谊出版公司,49.8,19.8,0.4,310,2023年,100%,40.0,12022.0
马伯庸见微系列套装：长安的荔枝+太白金星有点烦,马伯庸,2023-06-01,湖南文艺出版社,90.0,58.0,0.64,311,2023年,100%,48.9,73580.0
软技能（一次收获30位名家的独家软技能，从此在职场不过时、不贬,刘擎,2023-06-21,新星出版社,69.0,34.5,0.5,312,2023年,100%,66.1,27047.0
杨绛传：永不褪色的优雅（精装版 附赠书签）,吴玲,2019-09-01,青岛出版社,30.0,14.8,0.49000000000000005,314,2023年,100%,17.3,42284.0
世说新语（中华经典名著全本全注全译丛书-三全本・全2册）（100册,朱碧莲,2022-04-22,中华书局,66.0,33.0,0.5,317,2023年,100%,28.3,63202.0
臣服实验（当当专享赠送设计师排版中英金句小册子）,迈克・A,2019-01-01,南京大学出版社,59.0,29.5,0.5,319,2023年,100%,29.2,80048.0
爆笑小古文漫画版 笑破肚皮 笑掉大牙 哭笑不得 小学生一二三四五,哈哈星球,2022-07-01,二十一世纪出版社,108.0,45.8,0.42000000000000004,323,2023年,100%,40.2,38140.0
漫画小学生心理 全4册 自信力自控力社交力积极力  儿童心理健康教,翰图,2022-09-01,广东人民出版社,140.0,29.9,0.21000000000000002,325,2023年,100%,34.9,29931.0
雪国（川端康成50周年纪念，惟一正式授�喟妫�名校专家新译本）,川端康成,2022-12-01,南海出版公司,49.0,36.75,0.75,328,2023年,100%,38.5,53627.0
苏格拉底的申辩 罗翔老师多次推荐,柏拉图,2017-01-01,华夏出版社,49.0,29.4,0.6,330,2023年,100%,26.0,98157.0
青蛙和蟾蜍（拼音版）（7-12岁） 信谊世界精选图画书 （帮助孩子,艾诺・洛贝尔,2020-10-01,明天出版社,72.8,36.4,0.5,334,2023年,100%,38.6,65604.0
他在云之南（人气作家景行燃情悬爱力作！随书附赠“追光”书签。,景行,2020-04-01,百花文艺出版社,39.8,28.6,0.72,337,2023年,100%,26.5,62247.0
bibi动物园：等你好久啦（“治愈系天花板”随手一翻，嘴角一弯！,bibi园长,2022-11-01,南海出版公司,49.0,36.75,0.75,340,2023年,100%,29.4,50858.0
橙黄橘绿半甜时：季羡林、史铁生、汪曾祺等文学大家 全新四时节令,季羡林,2023-11-01,光明日报出版社,49.8,9.9,0.2,341,2023年,100%,13.1,96193.0
骆玉明古诗词课签章版（复旦爆火诗词课！听骆老师讲诗词，总是鼻,骆玉明,2023-03-01,江苏凤凰文艺出版社,59.9,29.9,0.5,344,2023年,100%,59.9,25956.0
如果历史是一群喵1-11（套装共11册）,肥志,2022-10-01,广东旅游出版社,637.4,318.8,0.5,348,2023年,100%,323.4,55371.0
内证观察笔记：真图本中医解剖学纲目（增订本）,无名氏,2020-04-01,广西师范大学出版社,46.0,27.6,0.6,351,2023年,99.8%,35.6,85716.0
变量5：在中国这艘大船上（翻开这本书，让我们同舟共济。“变量”,何帆,2022-12-29,新星出版社,69.0,34.5,0.5,353,2023年,99.9%,66.4,22415.0
小学生思维方式漫画（用前人的经验优化自己的思维模式，让学习和,歪歪兔童书馆,2021-11-01,海豚出版社,100.0,39.0,0.39,354,2023年,100%,22.6,32776.0
张爱玲传：因为懂得，所以慈悲（一本书读懂张爱玲的传奇人生）,杨锦慧,2019-09-01,民主与建设出版社,49.8,13.94,0.27999999999999997,355,2023年,100%,10.0,46905.0
博物馆寻宝记 藏在国宝中的文物简史 精装版,王露,2022-03-01,石油工业出版社,50.0,37.5,0.75,363,2023年,100%,32.4,84476.0
半小时漫画青春期（全2册）（青春期少年身心困扰，就读半小时漫画,陈磊・半小时漫画团队,2022-08-30,天津科学技术出版社,98.9,64.2,0.65,366,2023年,100%,38.2,37203.0
透过地理看历史+三国篇+大航海（套装版）,李不白,2022-09-22,人民日报出版社,225.8,119.0,0.53,368,2023年,100%,63.0,30285.0
论语 影响孩子一生的国学启蒙经典（注音彩图版）一二三年级儿童文,龚勋,2017-09-01,北京日报出版社,15.8,6.7,0.42000000000000004,369,2023年,100%,3.6,53670.0
小羊上山儿童汉语分级读物第2级 幼小衔接学会自主识字阅读 幼儿启,孙蓓,2020-09-01,人民邮电出版社,138.0,79.0,0.5700000000000001,371,2023年,100%,92.4,94048.0
"从零开始的女性主义（豆瓣2021年度最受关注图书,上野千鹤子给所有",上野千鹤子,2021-09-01,北京联合出版有限公司,52.0,28.6,0.55,373,2023年,100%,29.9,96614.0
我不想离开你,G.V.西纳顿,2019-08-01,四川少年儿童出版社,45.0,20.3,0.45,375,2023年,100%,9.6,83302.0
生命的重建 原版套装,露易丝・海,2019-05-01,中国宇航出版社,50.8,25.4,0.5,381,2023年,100%,35.3,73924.0
鳄鱼（莫言新书！从小说家到戏剧家，莫言的华丽转型。心有大舞台,莫言,2023-06-01,浙江文艺出版社,56.0,28.0,0.5,386,2023年,100%,48.4,38770.0
古文观止（上下）古典名著全本注译文库,吴楚材,2021-03-01,岳麓书社,78.0,39.0,0.5,390,2023年,100%,46.2,50461.0
停止你的内在战争,黄仕明,2022-05-01,民主与建设出版社,68.0,39.44,0.58,392,2023年,100%,44.8,63428.0
和爸爸一起科学启蒙绘本（全8册+66个彩蛋，歪歪兔出品）,关航,2021-10-01,海豚出版社,150.0,58.5,0.39,398,2023年,99.9%,34.6,46033.0
务虚笔记（史铁生著/半自传式作品）,史铁生,2023-03-01,人民文学出版社,40.0,31.6,0.79,399,2023年,100%,27.7,57183.0
中国最美的100个地方 图说天下 寻梦之旅,图说天下,2022-07-01,四川人民出版社,29.9,23.9,0.8,401,2023年,100%,8.4,53328.0
七色花 全彩注音 小学二年级下册 快乐读书吧 推荐阅读（有声朗读,卡达耶夫,2020-02-01,商务印书馆,21.8,10.4,0.48,402,2023年,100%,10.5,64946.0
张嘉佳十年文集限定礼盒（当当专享张嘉佳“十年之约”纪念信+手写,张嘉佳,2022-07-01,湖南文艺出版社,200.0,100.0,0.5,405,2023年,100%,73.7,60795.0
梦、时间与短视频,亲爱的安先生,2023-05-29,江苏凤凰文艺出版社,68.0,34.0,0.5,408,2023年,100%,68.0,36893.0
写给青少年的古文观止全套5册正版小古文小学初中高中注音详解注释,,2022-05-01,民主与建设出版社,228.0,25.9,0.11000000000000001,409,2023年,100%,56.4,39891.0
心经、金刚经（简体、横排、注音、国学经典诵读本）,中华文化讲堂,2018-01-01,团结出版社,18.0,9.9,0.55,410,2023年,100%,9.2,62460.0
非洲民间故事老人的智慧 快乐读书吧五年级上册课外阅读(中小学生,闻钟,2019-09-01,南方出版社,21.8,9.8,0.45,411,2023年,100%,4.4,86205.0
莫言的奇奇怪怪故事集（或许只有莫言这么大的脑洞，才能带你去人,莫言,2022-03-01,江苏凤凰文艺出版社,59.9,29.9,0.5,414,2023年,100%,59.9,41458.0
面纱,毛姆,2018-05-01,开明出版社,49.8,12.5,0.25,415,2023年,100%,18.0,59188.0
流浪地球・珍藏版,刘慈欣,2019-06-01,沈阳出版社,49.5,24.7,0.5,416,2023年,100%,37.5,37741.0
64种逆思维：帮你从社交坏情绪中轻松脱困（从烦恼到快乐的距离，,耶六,2022-05-01,北京时代华文书局,42.0,21.0,0.5,419,2023年,100%,28.3,44530.0
小镇喧嚣：一个乡镇政治运作的演绎与阐释,吴毅,2018-02-01,生活书店出版有限公司,68.0,40.8,0.6,420,2023年,100%,41.9,71185.0
快乐读书吧六年级下册 鲁滨逊漂流记 汤姆索亚历险记 尼尔斯骑鹅旅,马克,2018-11-01,时代文艺出版社,62.2,27.9,0.45,422,2023年,100%,18.9,92512.0
秘密花园（《语文》阅读丛书）人民文学出版社,弗朗西丝・伯内特,2018-04-01,人民文学出版社,24.0,12.0,0.5,423,2023年,100%,12.0,54520.0
中华人民共和国刑法（实用版）（根据刑法修正案十一修订）,中国法制出版社,2021-01-01,中国法制出版社,30.0,11.0,0.37,424,2023年,100%,6.4,99600.0
人教版快乐读书吧阅读课程化丛书 二年级上册套装（一只想飞的猫+,曹文轩,2019-04-01,人民教育出版社,80.0,38.4,0.48,428,2023年,100%,36.8,96793.0
千字文 影响孩子一生的国学启蒙经典（注音彩图版）小学生一二三年,龚勋,2017-09-01,北京日报出版社,15.8,6.7,0.42000000000000004,429,2023年,100%,3.6,52325.0
追问,丁捷,2017-04-01,中共中央党校出版社,42.0,33.1,0.79,430,2023年,100%,32.3,59125.0
超级工程来了 这就是中国力量  精装硬壳 揭秘大国工程里的科学奥,四川少年儿童出版社,2022-11-01,四川少年儿童出版社,168.0,39.8,0.24,432,2023年,100%,47.7,22115.0
陆上行舟――一个中国记者的拉美毒品调查（央视记者刘骁骞用一段,刘骁骞,2020-11-23,人民出版社,45.0,22.5,0.5,440,2023年,100%,31.7,43376.0
欧洲民间故事：聪明的牧羊人 五年级上册课外阅读（中小学生课外阅,伊塔洛,2021-06-01,时代文艺出版社,20.8,9.3,0.45,442,2023年,100%,9.0,35219.0
失明症漫记（诺奖得主萨拉马戈传世之作！一旦对他人的苦难视而不,若泽・萨拉马戈,2022-07-26,河南文艺出版社,66.0,33.0,0.5,446,2023年,100%,30.0,88829.0
